날짜,제목
2024-10-01,충전기 카드 인식 불가
2024-10-01,카드 신청하려고 하니 이미 등록된 차량이라고 나옵니다
2024-10-01,차량번호변경 요청
2024-09-30,이미 등록된 차량번호
2024-09-30,회원카드 발급을 위한 차량 번호 처리 요청
2024-09-30,차량번호 수정부탁드립니다!
2024-09-30,카드 발급 관련 차량번호 입력시 이미 등록된 차량으로 뜹니다.
2024-09-30,이미등록된남바?카드라고 나옵니다....
2024-09-30,멤버쉽카드 발급받았지만 결제 카드 목록 표시 안됩니다.
2024-09-30,법인차량 회원카드 담당자 변경
2024-09-30,신규 회원카드 실물 수령 언제 할 수 있는지 문의드립니다
2024-09-30,자동차번호변경신청
2024-09-30,회원카드 발급 관련 문의 드립니다.
2024-09-30,원단위 절사 건
2024-09-30,회원카드 발급 후 등록 관련
2024-09-30,카드 발급 이미 등록된 차량
2024-09-30,"회원카드 신청하는데, 이미 등록된 차량번호라고 나옵니다."
2024-09-30,충전기 정보 API 연계 문의
2024-09-30,환경부 회원카드 등록 요청 및 차량번호 변경등록 요청
2024-09-30,회원 카드 해지 요청드립니다.
2024-09-29,차량번호 변경(임시번호로 신청) 요청
2024-09-29,카드 신청을 하고 싶은데...
2024-09-29,차량번호 변경신청 드립니다!!
2024-09-29,이미 충전카드를 발급받고 추가로 한장더 발급가능한지 여부
2024-09-29,회원카드 해지 요청
2024-09-29,카드등록이 안되었다고하네요
2024-09-29,회원카드 신청 시 차량 중복 등록
2024-09-29,회원카드 정보 수정 요청
2024-09-29,신규 회원 결제카드 등록도 안되고 나타나지도 않습니다.
2024-09-29,신규 회원카드 결재 등록
2024-09-28,중고차량 구매 중복차량 메세지
2024-09-28,결제카드 등록
2024-09-28,차량번호 변경 신청
2024-09-28,중고매입차량 -차량번호 중복확인
2024-09-27,차량번호 변경 및 결재카드 등록
2024-09-27,차량번호 변경신청
2024-09-27,회원탈퇴후 재가입
2024-09-27,차량 번호 변경 신청합니다.
2024-09-27,차량번호 변경문의
2024-09-27,전기차 충전소 리스트 데이터 제공 요청
2024-09-27,결제카드 등록 방법
2024-09-27,중고차거래 이미 등록된 차량번호
2024-09-27,결재카드 등록 및 차번호 수정
2024-09-27,차량번호 변경 요청
2024-09-26,차량번호 변경 요청
2024-09-26,차량번호 변경요청
2024-09-26,환경부카드 재발급방법(분실)
2024-09-26,충전완료 알림문자
2024-09-26,환경부카드 두장발급여부
2024-09-26,차량번호 변경 요청
2024-09-26,회원카드 등록안됨
2024-09-26,충전요금 공개 요청
2024-09-26,중고차 구매 후 환경부카드 등록
2024-09-26,회원카드 차량번호 등록요청 및 카드 배송 문의
2024-09-26,회원카드 차량번호 등록 요청
2024-09-26,분실신고
2024-09-25,비밀번호 바꾸는법+결제카드 해제 후 다시 등록하는 법
2024-09-25,카드가 가끔 안될때 회원번호
2024-09-25,회원카드 차량번호수정
2024-09-25,회원카드 미도착
2024-09-25,회원카드 사용 방법
2024-09-25,차량 1대에 해당하는 카드를 정지 하였더니 사라져 버렸습니다.
2024-09-25,질문입니다.
2024-09-25,환경부 카드등록 요청
2024-09-25,회원카드 차량번호 변경요청
2024-09-25,중복된 차량번호
2024-09-25,차량번호 변경
2024-09-25,충전카드 차량 번호 변경 신청
2024-09-24,회원카드 차량 번호 변경
2024-09-24,회원카드 차량 번호 수정
2024-09-24,회원카드 차량번호 수정요청
2024-09-24,회원카드차량번호 변경 요청
2024-09-24,회원카트발급
2024-09-24,중고차로 전기차 구매
2024-09-24,회원카드 이용해서 충전한 후에 충전내역 조회 안되고 결제도 안됩니다.
2024-09-24,임시로 등록한 자동차 번호 변경 요청
2024-09-24,화원카드 차량번호 변경요청
2024-09-24,임시로등록한 차량번호변경건
2024-09-24,차량 승계받은후 회원카드발급이 안됩니다
2024-09-24,회원카드 이용해서 충전한 후에 충전내역 조회 안되고 결제도 안됩니다.
2024-09-24,카드 배송 관련 문의의 건
2024-09-24,전기중고차 구매후 충전카드발급문의
2024-09-23,회원카드 분실 재발급 신청합니다.
2024-09-23,차량번호 수정및 결재카드등록
2024-09-23,포인트 결제을 누르면 포인트회원 인증에 실패하였습니다 라고 나옵니다
2024-09-23,회원카드 이용해서 충전한 후에 충전내역 조회 안되고 결제도 안됩니다.
2024-09-23,결제카드 변경을 하고싶습니다.
2024-09-23,충전기 에서 이음카드(회원) or 개인신용카드(비회원) 결재시 결재정보에 대한 문의
2024-09-23,개인용과 회사용 별도 결재 사용 관련
2024-09-23,카드 결제 취소
2024-09-23,회원카드 정보 수정 문의
2024-09-23,카드 발급완료 후 배송
2024-09-23,카드해지
2024-09-23,카드등록은 어디서 하나요?
2024-09-23,회원카드 배송문의
2024-09-23,차량번호 변경
2024-09-23,카드발급시 등록한 차량번호 변경 요청드립니다.
2024-09-22,중고차 구매 이미 등록된 차량으로 등록 안됨 현상
2024-09-22,중고차구매 이미등록된 차량번호라고 나옵니다
2024-09-22,카드 신청하려니 이미 등록차량이라고 합니다.
2024-09-22,중고차 구매시 회원카드
2024-09-22,중고차를 구매했는데 이미 번호가 중복된다고 나옵니다
2024-09-21,분실 카드 철회 요청
2024-09-21,전기차 중고차로 구매이후 환경부 전기차 카드발급
2024-09-21,회원 카드 재발금 신청합니다
2024-09-21,차량명의와 카드명의가 다를때
2024-09-21,발급된 환경부 카드의 인증 문의
2024-09-21,차량번호 등록과 결제카드 등록을 할려고 합니다. 도움부탁드립니다.
2024-09-21,중고차 구매
2024-09-21,차량번호 수정 요청드립니다
2024-09-21,차량번호 변경 요청
2024-09-21,자동차 번호 분실 및 재발급 후 시스템 정보 변경 요청
2024-09-20,카드 신청
2024-09-20,차량번호 등록
2024-09-20,충전을 안했는데 결제내역이
2024-09-20,중고차 구매후 번호 중복으로 인해 카드발급 불가
2024-09-20,회원카드 차량번호 변경 요청합니다.
2024-09-20,중고차 구매로 차량번호 중복
2024-09-20,전기차 충전 내역이 보이지 않습니다.
2024-09-20,중고판매
2024-09-19,중고 전기차 구매 후 카드 발급 문의의 건
2024-09-19,중고차 구매후 차량번호 중복으로 회원카드발급 불가
2024-09-19,중복
2024-09-19,회원카드 차량번호 변경 관련
2024-09-19,차량번호 변경 요청드립니다.
2024-09-19,회원카드 차량번호 변경 요청합니다.
2024-09-19,회원카드 차량번호 변경 요청
2024-09-19,이용명세서 조회 요청드립니다
2024-09-19,분실 재발급 신청후 철회 요청
2024-09-19,차량번호 변경 요청드립니다
2024-09-19,실물카드 정지해제
2024-09-19,카드가 인식이 잘안돼요
2024-09-19,중고차 구입 카드신청 불가(기등록차량)
2024-09-19,임시번호로 회원카드 발급 후 차량번호 변경(마이페에지에서 확인불가)
2024-09-19,결제카드 등록
2024-09-19,카드등록 및 차량번호 수정
2024-09-19,중고차 구매 후 카드 신청 시 중복번호로 발급 신청 불가
2024-09-19,차량번호 수정 부탁드립니다.
2024-09-18,중고차 구입 차량등록.
2024-09-18,홈페이지 회원가입 중 인증프로그램 확인단계 순서를 검토해 주세요
2024-09-17,충전도 못했는데 결제가 됐어요
2024-09-17,회원카드 등록 부탁드립니다.
2024-09-16,이미 등록된 차량이라고 나옵니다
2024-09-16,재발급 받았는데 등록하는 곳이 없네요?
2024-09-15,중고차 승계 후 카드 차량번호 중복등록
2024-09-15,차량번호 수정
2024-09-14,충전 내역 확인이 안됩니다.
2024-09-14,회원카드 차량 번호 변경 부탁드립니다.
2024-09-14,미납요금 결제
2024-09-14,신차 구매후 회원카드 받았는데 사용이안되요
2024-09-14,신차 출고전 카드 발급 가능한지요?
2024-09-14,차량번호 변경
2024-09-14,차량번호 변경
2024-09-14,차량번호 변경 요청
2024-09-14,중고차 구매 후 회원카드 등록
2024-09-14,충전기운영/ 회원카드 차량 번호변경 및 사용인증 요청드립니다.
2024-09-13,차량번호 변경 요청
2024-09-13,차량번호변경
2024-09-13,차량번호 변경 요청
2024-09-13,회원카드 차량번호 변경 요청드립니다.
2024-09-13,회원카드 차량번호 변경 요청
2024-09-13,차량번호 변경 요청의 건
2024-09-13,재발급
2024-09-13,카드 등록
2024-09-13,회원카드 차량번호 변경 요청드립니다.
2024-09-13,차량번호변경
2024-09-13,차량번호변경 부탁드립니다.
2024-09-13,차량번호 변경 요청드려요
2024-09-13,결제카드 등록 처리 불가 (결제카드 조회 안됨)
2024-09-13,신규카드 발급 후 차량번호 등록 요청
2024-09-13,"저의 명의의 차량입니다. 회원카드를 발급받으려고 하니, 이미 등록된 차량이라고 뜹니다. 해결 요청"
2024-09-12,회원카드를 신청하려는데 차량이 등록 되어 있다하여 문의드립니다.
2024-09-12,중고차 신규 등록 중 이미 등록된 차량일 경우
2024-09-12,중고차구매후 카드신청
2024-09-12,결제카드를 등록하려는데 카드리스트에 없어요
2024-09-12,계정이동
2024-09-12,중고차 구입후 카드발급 안되요
2024-09-11,차량번호 변경 요청합니다.
2024-09-11,중고차 구매후 차량 번호 변경을 원합니다.
2024-09-11,중고차 구매 후 회원카드 신청 불가
2024-09-11,내역삭제했는데 재등록이 안됩니다.
2024-09-11,차량번호 변경 요청
2024-09-11,환경부 회원카드 분실시
2024-09-10,회원카드 등록 및 차량번호 변경
2024-09-10,지하 주차장 충전기 철거의 건
2024-09-10,회원카드 차량 등록 요청드립니다
2024-09-10,중고차 구매후 이미 등록된 차라 안되네요.
2024-09-10,법인차량 전기차충전 카드발급 문의
2024-09-10,차량번호 변경등록 요청합니다.
2024-09-10,실물카드를 받았는데요 차량번호 수정하는 화면도 없고 카드등록도 막혀있어요
2024-09-10,차량번호 변경 등록 희망
2024-09-10,차량등록 요청드립니다.
2024-09-10,중고차 구매 후 이미 등록되어 있는 차량으로 안내되었을 때 대처방안을 알려주세요
2024-09-10,차량 등록 요청드립니다.
2024-09-09,결제카드 오류가 발생하네요
2024-09-09,차량등록 변경 문의드립니다
2024-09-09,등록되지 않은 카드라고 나옵니다.
2024-09-09,차량번호 변경 신청합니다.
2024-09-09,결재 카드 등록이 안되고 있습니다
2024-09-09,"중고차구입, 회원카드 신청 차량등록이 중복으로 실패함"
2024-09-09,회원카드 카드등록 안됩니다.
2024-09-09,차량등록 변경 문의 드립니다.
2024-09-09,중고차 구입하였습니다. 차량번호 등록 부탁드립니다.
2024-09-09,차량번호 변경요청합니다
2024-09-09,차량 번호등록이 안되는게 나만 안되는게 아니였네?
2024-09-08,차량번호 부탁드립니다~
2024-09-08,차량번호 변경 부탁드립니다.
2024-09-08,카드가 반송된거같은데 다시 받을수있나요?
2024-09-08,"멤버쉽카드 도착, 카드등록이 안되네요!! 수정 부탁합니다."
2024-09-08,중고차구매했는데 차량번호 중복으로 카드신청이 안됩니다
2024-09-07,차량번호 변경요청드립니다
2024-09-07,중고차 구매했는데 차량번호 중복으로 회원카드 신청이 안됩니다.
2024-09-07,차량번호 변경 부탁드립니다.
2024-09-07,차량번호 변경하고싶습니다
2024-09-07,충전소 내부에 말벌집 제거바랍니다
2024-09-07,중고차를 구매하였는데 차량번호가 이미 등록되어 있네요. 어떻게 하면 될까요
2024-09-07,충전완료시 금액 하고 실제 카드 결제 금액 상이
2024-09-07,회원 카드를 수령 후에 결제 카드 등록
2024-09-07,차량번호 중복
2024-09-07,차량번호 변경 부탁드립니다.
2024-09-07,중고차량 구매 후 카드신청시 이미등록된 차량이라고 뜹니다.
2024-09-07,중고 차량구입했습니다. 차량조회 중복이 뜹니다.
2024-09-06,"카드 발급 후, 카드가 반송되었습니다. + 원래 카드를 찾았습니다."
2024-09-06,차량번호 변경 부탁드립니다
2024-09-06,차량번호변경 부탁드립니다.
2024-09-06,"중고로 전기차를 구매했는데, 이미 등록된 차량이라고 나와서 문의드립니다."
2024-09-06,차량 번호 변경 부탁드립니다
2024-09-06,신규발급한 회원카드를 장기부재로 수령을 하지 못했습니다.
2024-09-06,급속충전기에서 회원번호 입력 후 비밀번호 문의
2024-09-06,차량번호 변경부탁드립니다.
2024-09-06,가입안됨
2024-09-06,차량 등록번호 변경 요청드립니다.
2024-09-06,중고차량 추가 매입후 회원카드 신규 신청
2024-09-06,전기차 번호
2024-09-06,회원카드 배송 주소 변경
2024-09-06,차량번호 등록(변경) 요청드립니다.
2024-09-06,회원카드 발급
2024-09-06,회원카드문의
2024-09-06,차량번호 변경요청
2024-09-05,차량번호 수정부탁드려요
2024-09-05,차랑번호 변경 요청 드립니다
2024-09-05,회원카드와 결제카드 명의는 동일해야 하나요?
2024-09-05,차량번호 번경요청합니다
2024-09-05,차량번호 변경 요청드립니다
2024-09-05,차량번호 변경 요청드립니다.
2024-09-05,정보변경
2024-09-05,차량번호 변경 부탁드립니다.
2024-09-05,차량번도 등록 요청
2024-09-05,중고 차량 구매로 인한 차량 번호 중복 문제
2024-09-05,차량번호 등록(변경)요청
2024-09-05,회원카드 등록 요청
2024-09-05,차량번호 변경요청
2024-09-05,이미 등록된 차량에 대한 문의
2024-09-05,충전카드 차량번호 수정 요청
2024-09-04,차량번호 변경 요청
2024-09-04,이미 등록된 차량에 대한 문의
2024-09-04,[충전기운영/회원카드및결제] 차량번호 변경요청
2024-09-04,차량번호 변경 요청
2024-09-04,차량번호 변경 문의
2024-09-04,차량번호 변경요청
2024-09-04,차량번호 변경요청
2024-09-04,차량번호 변경요청
2024-09-04,차량 번호 수정 요망
2024-09-04,회원카드 문의드립니다.
2024-09-04,차량번호 변경 요청
2024-09-04,차량번호 변경 요청
2024-09-04,이미 등록된 차량번호입니다.
2024-09-04,차량번호 변경요청
2024-09-04,차량등록
2024-09-04,신규등록
2024-09-04,차량 번호 변경 요청합니다.
2024-09-03,이미 등록된 차량번호입니다.
2024-09-03,차량변경 수정부탁드립니다.
2024-09-03,차량번호 변경 부탁드립니다.
2024-09-03,차량번호 변경부탁드립니다
2024-09-03,차량번호 변경 부탁드립니다.
2024-09-03,차량 번호 변경 부탁합니다
2024-09-03,회원카드 관리자 이전 문의
2024-09-03,차량번호 변경 부탁 드립니다
2024-09-03,차량번호 변경 부탁드립니다.
2024-09-03,차량 번호 변경 등록 부탁드립니다.
2024-09-03,차량번호 변경 등록 부탁드립니다.
2024-09-03,차량번호 변경 관련 문의드립니다.
2024-09-03,차량번호 등록 부탁드립니다.
2024-09-03,차량번호 변경
2024-09-03,임시번호로 카드발급받았습니다.차량등록부탁드립니다.
2024-09-03,회원카드 차량번호 변경부탁드립니다.
2024-09-02,카드 분실 재발급 신청
2024-09-02,카드 회원정보 변경 및 결제카드 등록 문의
2024-09-02,카드 신청시 이미 발급 받은 번호
2024-09-02,회원카드 차량 번호 변경 요청
2024-09-02,회원 카드에 차량 번호 변경 요청
2024-09-02,차량 번호 변경 요청 건
2024-09-02,잘못된 차량번호 수정 요청
2024-09-02,환경부 카드 반송 후 재발급 신청
2024-09-02,회원카드의 차량번호 변경 요청
2024-09-02,신청카드 재발급주소
2024-09-02,이용요금 조회에서 엑셀저장이 안됩니다
2024-09-02,회원카드번호 변경요청
2024-09-02,충전카드 분실
2024-09-02,차량번호 변경 요청 드립니다. 문자로 받은 1661-9408 번호는 없는 전화번호라고 나옵니다.
2024-09-02,결제실패 건 재결제 처리 요청
2024-09-02,중고차 카드발급
2024-09-01,차량번호 변경 요청드립니다.
2024-09-01,차량번호 변경
2024-09-01,회원카드배송 취소해주세요
2024-09-01,번호변경요청
2024-09-01,카드 신청 시 이미 발급 받은 번호라고 뜹니다.
2024-09-01,충전카드 번호 변경요청
2024-09-01,환경부 카드 반송 후 재발급 절차
2024-09-01,잘 써왔던 기존 실물카드(환경부)가 회원인증이 안됩니다
2024-08-31,"중고 전기차 구매했는데, 이미 발급받은 번호라서 안됩니다."
2024-08-31,카드분실 처리및 카드 재발급
2024-08-31,카드등록
2024-08-31,회원 카드 차량 번호 수정 요청드립니다.
2024-08-31,회원카드 차량 번호 수청 요청드립니다.
2024-08-31,차량번호 수정 부탁 드립니다.
2024-08-31,차량번호 변경 요청드립니다.
2024-08-31,차량번호 등록 요청
2024-08-30,"중고차를 구매하였는데, 카드발급을 하려고 하니까 이미 등록된 차량 번호라고 나옵니다."
2024-08-30,카드 등록 부탁드립니다
2024-08-30,차량 번호 수정 및 결제카드 등록
2024-08-30,차량 번호 변경 및 결제 카드 등록이 되지 않습니다.
2024-08-30,차량번호 변경 신청드립니다.
2024-08-30,회원카드
2024-08-30,차량번호 변경 및 결재카드 등록 건의 드립니다.
2024-08-30,차량번호 등록하고자 합니다. 결제 카드 등록 진행이 안되네요.
2024-08-30,차량번호 변경 문의
2024-08-30,차량번호 변경을 하고자 합니다.
2024-08-30,차량번호 등록
2024-08-30,차량번호 변경 신청합니다.
2024-08-30,차량등록 번호 변경
2024-08-30,차량번호 변경신청합니다.
2024-08-30,중고차를 구매했는데 이미 등록된 번호로 등록이 안됩니다.
2024-08-30,중고차를 구매하였는데 기존에 등록된 차량번호라고 뜹니다
2024-08-30,전기 스쿠터 충전관련 카드발급 문의드립니다.
2024-08-30,차량 번호 등록 문의
2024-08-30,차량번호 수정 부탁드립니다!
2024-08-30,차량변경으로 기존 환경부카드 사용가능한가요?
2024-08-29,차량번호 수정 요청드립니다
2024-08-29,등록된 차량번호 변경 요청드립니다.
2024-08-29,차량번호 변경 요청합니다.
2024-08-29,분실 정지 철회
2024-08-29,카드 등기배송 언제쯤
2024-08-29,결제카드 변경 요청(오류 처리된 카드 삭제 불가)
2024-08-29,차량번호 바꿔주세요
2024-08-29,여기 사이트 마우스 드래그 잠금 풀어주세요.
2024-08-29,분실에 따른 카드 재발급 요청
2024-08-29,차량번호 변경 부탁드립니다
2024-08-29,결제카드 변경 요청
2024-08-29,차량번호 변경해주세요
2024-08-29,카드 정보 변경문의
2024-08-29,차량번호 변경요청
2024-08-29,차량번호 변경 요청드립니다.
2024-08-29,카드 신청했는데 언제오나요?
2024-08-29,중고차량 구매 후 회원카드 발급
2024-08-29,공동명의의 경우 회원카드 신청이 1인만 가능합니다. 추가 신청 방법 문의드립니다.
2024-08-29,카드 못받았습니다
2024-08-29,차량번호 변경을 하고자 하는 데 어디서?
2024-08-29,카드정보변경
2024-08-28,결제카드 등록이 안됩니다.
2024-08-28,차량번호등록 신청
2024-08-28,분실및 이름변경
2024-08-28,회원카드 정보 변경 요청 드립니다.
2024-08-28,카드 분실 재발급
2024-08-28,회원카드 차량 정보 변경 문의 드립니다.
2024-08-28,회원카드 차량번호 변경문의
2024-08-28,정보업데이트부탁드립니다.
2024-08-28,분실로 인한 카드 재발급 요청
2024-08-28,차량번호등록방법 알려주세요
2024-08-28,회원정보 수정 부탁드립니다!
2024-08-28,카드 배송
2024-08-27,중고 전기차 이미등록되어 신청 불가
2024-08-27,회원정보 수정 요청
2024-08-27,회원카드 정보 수정 요청드립니다.
2024-08-27,회원정보 변경
2024-08-27,중고차 구매후 회원카드 발급받고싶은데 등록된 차량이라고 뜹니다.
2024-08-27,회원정보 수정
2024-08-27,중고전기차 구입해는데 차량등록
2024-08-27,법인 회원 및 임시번호 관련 문의
2024-08-27,차량번호 변경
2024-08-27,차량번호변경
2024-08-27,카드 재발급
2024-08-26,차량번호 등록을 어디서 하나요?
2024-08-26,중고 전기차 구입 후 환경부 충전가드 발급신청 시 차량번호 중복건 처리부탁드립니다.
2024-08-26,중고차 구매 후 차량번호 중복이라고 나옵니다
2024-08-26,발급한 카드 차량번호 변경 요청
2024-08-26,등록된 카드의 차량번호 변경 방법
2024-08-26,회원카드 차량번호 등록
2024-08-26,회원카드 차량번호 변경요청
2024-08-26,차량번호 수정요청
2024-08-26,민간 충전소 충전량 조회가능 여부
2024-08-26,차량 번호판 등록 번호 수정 요청 드립니다.
2024-08-26,결재 카드 등록 문의건
2024-08-26,회원카드에 차량번호 등록 요청드립니다.
2024-08-26,회원카드 재발행 수령기간
2024-08-26,환경부카드 차량번호 등록
2024-08-25,회원카드관련
2024-08-25,카드삭제 및 정지 요청드립니다.
2024-08-25,카드 2개 삭제 요청
2024-08-25,모바일ev이음 로그인 불가
2024-08-25,차량번호 등록
2024-08-25,차량번호 등록바랍니다
2024-08-25,발급완료라고 뜬 회원카드 배송을 받지 못했습니다. ㅠ ㅠ
2024-08-25,카드등록관련
2024-08-25,차량번호 수정 부탁드립니다
2024-08-25,차량번호 등록 요청드립니다.
2024-08-24,회원카드 차량번호 등록 요청 드립니다.
2024-08-24,중고차를구매했는데
2024-08-24,"충전카드 분실 및 재발급 문의, 이음 앱 사용 문의"
2024-08-24,결제카드등록안됨문의
2024-08-24,차량번호 변경부탁드립니다
2024-08-24,"중고 전기차 구매, 회원카드 신청시 이미 등록된 차량이라고 나옵니다."
2024-08-24,[카드발급]중고차 구입후 차량번호 중복 건
2024-08-24,결제카드등록 안됨 문의
2024-08-23,차량번호 변경
2024-08-23,중고 차량구입했습니다. 차량조회 중복이 뜹니다.
2024-08-23,차량번호 변경 요청
2024-08-23,차량번호 변경 요청드립니다
2024-08-23,회원카드 분실 해제 요청
2024-08-23,차량번호 변경신청
2024-08-23,차량 번호 변경 문의
2024-08-23,차량 번호 변경 요청
2024-08-23,이미 등록된 번호 변경
2024-08-23,차량번호 변경요청
2024-08-23,차량번호 변경 문의
2024-08-23,<가까운 충전소 찾기>에서 충전소 제보
2024-08-23,모바일 회원카드 차량번호 등록
2024-08-23,회원카드 차량번호 등록 요청
2024-08-23,법인 등록 후 카드발급
2024-08-23,회원카드 차량번호 등록 요청방법 문의
2024-08-23,차량번호 등록 요청
2024-08-23,회원카드 분실로 재발급 요청
2024-08-23,차량번호 변경
2024-08-23,차량번호변경건입니다
2024-08-23,카드결제및 환불
2024-08-22,중고로 구입(차량번호 중복으로 뜸)
2024-08-22,차량번호 교체요청
2024-08-22,볼보 xc60 카드 재발급
2024-08-22,차량번호 교체 요청
2024-08-22,차량번호 변경 요청
2024-08-22,차량번호 변경 요청
2024-08-22,신규회원카드 발급 위한 차량등록 변경요청
2024-08-22,차량번호등록요청
2024-08-22,회사차량 충전했으나 요금조회에 안뜸
2024-08-22,중고차 구매후 카드발급
2024-08-22,차량번호 수정 요청 드립니다.
2024-08-22,차량번호 수정등록
2024-08-22,지방출자출연기관으로 개인회원으로 가입 후 기관용 전기차 카드 발급 절차 문의
2024-08-22,신규회원카드 발급 위한 차량등록 변경요청
2024-08-22,환경부 전기차 카드 차량번호 변경요청
2024-08-22,환경부카드 차량번호등록
2024-08-22,차량 번호 수정 요청드립니다
2024-08-22,차량번호 변경 요청
2024-08-21,충전기 고장신고를 얼마나많이해야하나요..
2024-08-21,결재카드 등록 및 번호판 수정
2024-08-21,전기차 충전카드를 분실했습니다. 재발급받고싶습니다
2024-08-21,중고차 구매 후 카드발급 요청
2024-08-21,"회원 카드 수령 후 결제 카드 등록하고자 하는데, 회원 카드 조회가 안됩니다."
2024-08-21,회원카드 발급 차번호 변경
2024-08-21,충전카드 재발급
2024-08-21,등록된 차량번호 변경 요청
2024-08-21,공공데이터포털과 데이터 차이 문의
2024-08-21,전기차 충전 결제 관련 문의사항
2024-08-21,차량 번호 수정 부탁드립니다
2024-08-21,차량번호 변경 요청합니다.
2024-08-21,8월 19일에 회원카드 해지 취소관련 문의드린 사람입니다.
2024-08-21,차량 번호 변경 요청드립니다
2024-08-21,차량번호 변경 부탁드립니다.
2024-08-20,차량번호 변경 부탁드립니다.
2024-08-20,차량번호 변경 부탁드립니다.
2024-08-20,차량번호 변경 요청합니다.
2024-08-20,카드 재발급
2024-08-20,차량번호 등록부탁드립니다
2024-08-20,중고차 구매 후 카드발급
2024-08-20,차량번호 등록 및 회원카드 표기 필요
2024-08-20,차량번호 변경요청합니다.
2024-08-20,차량번호 등록요청
2024-08-20,회원카드 결제가 안됩니다.
2024-08-20,차량번호 변경 요청
2024-08-20,차량 번호 변경 등록 요청
2024-08-20,환경부 회원카드 신청페이지 캐스퍼 일렉트릭 차종 추가 요청드립니다.
2024-08-20,카드 재발급
2024-08-19,차량 번호 변경해주세요
2024-08-19,차량 번호 변경해 주세요.
2024-08-19,차량번호 변경 요청드립니다.
2024-08-19,차량번호 변경 해주세요
2024-08-19,중고차 구매 후 카드발급
2024-08-19,회원카드를 해지했는데 다시 취소할 수 있나요?
2024-08-19,카드 발급완료로 되어있는데 배송이 되지 않았어요
2024-08-19,전기차충전기 이용자 제한 변경요청
2024-08-19,임시로 온라인 발급은 완료 되었는데 차량 번호를 어떻게 바꿀 수 있나요?
2024-08-19,회원카드 분실
2024-08-19,차량번호 변경과 결제카드 등록이 안되요
2024-08-19,전기차 신차구매 전 계약서등으로 카드발급이 미리 안되나요?
2024-08-18,중고차 매입후 회원카드 신청
2024-08-18,회원카드 분실로 인한 재발급 요청
2024-08-18,카드 왔는데요 등록이 안되요 해결해줘요
2024-08-17,회원카드 차량번호 변경 요청드립니다.
2024-08-17,결제카드등록이 안되요!
2024-08-17,중고차 매입후 카드신청껀
2024-08-17,등기우편 배송완료인데 받은게 없습니다.
2024-08-17,등기우편
2024-08-17,아이폰 사용자 회원카드 발급 후 홈페이지/앱에 카드 등록 문의
2024-08-16,차량번호 변경 요청드립니다.
2024-08-16,임시번호로 발급 차량 번호 변경 부탁 드립니다.
2024-08-16,차량번호 변경
2024-08-16,소유자변경
2024-08-16,임시번호로 발급한 카드 차량번호 반영 부탁드립니다
2024-08-16,임시번호로 발급했는데 변경 좀 부탁드립니다
2024-08-16,이용요금 조회 문의
2024-08-16,법인등록 및 중복등록된 차량으로 인한 문제
2024-08-16,차량번호 변경처리 부탁드립니다
2024-08-16,의무구매 임차제 승인
2024-08-16,카드등록 정지요
2024-08-16,차량번호 변경 부탁드립니다
2024-08-16,카드 차량번호 변경바랍니다.
2024-08-16,발급 카드 정지에 대해 문의드립니다.
2024-08-16,회원카드 분실로 재발급 문의
2024-08-16,차랑번호 변경 요청
2024-08-15,차량번호 중복으로 카드 신청안됨
2024-08-15,중고차 구입후 카드 발급 관련
2024-08-15,중고차 구입 후 회원카드 발급 관련
2024-08-15,차량번호변경요청
2024-08-15,차량번호 변경부탁드립니다
2024-08-15,카드 차량번호 변경 부탁드립니다.
2024-08-15,차량번호 등록
2024-08-15,차량번호 등록
2024-08-14,회원카드 등록요청 건
2024-08-14,차량 번호변경 부탁드려요
2024-08-14,실물카드 등록이 안되요
2024-08-14,차량번호 변경 부탁드립니다
2024-08-14,차량번호 변경 부탁드립니다.
2024-08-14,차량번호 수정 부탁드립니다.
2024-08-14,거래제한카드
2024-08-14,중고차 구입 카드 발급 방법
2024-08-14,중고차량 구매 후 카드 발급 추가문의
2024-08-14,신규차량번호 등록 부탁드립니다.
2024-08-14,중고차량 구매 후 카드 발급
2024-08-14,신규 차량번호 등록부탁드립니다.
2024-08-14,카드배송관련
2024-08-14,중고차구매 차량번호 변경 요청드립니다.
2024-08-14,차량번호 변경 부탁드립니다
2024-08-14,신차 차량등록 요청
2024-08-14,차량번호 변경 요청드립니다.
2024-08-14,차량번호 변경 요청 드립니다.
2024-08-14,차량번호 교체 및 결제카드등록이 안됩니다.
2024-08-14,차량번호 변경요청드립니다.
2024-08-13,렌트카 사용을 위한 회원카드 신청
2024-08-13,차량번호 변경 신청합니다
2024-08-13,환경부 카드 재발급(분실)
2024-08-13,회원카드 차량번호 변경 요청합니다.
2024-08-13,차량번호 변경 부탁드립니다.
2024-08-13,중고(신규) 충전카드발급시 문제
2024-08-13,법인사업자 관련 문의 사항
2024-08-13,카드발송은 언제 되나요?
2024-08-13,가정용 완속 충전기 고장 문의
2024-08-13,법인 회원 담당자 변경 요청
2024-08-13,모바일카드에 차량번호 등록 요청
2024-08-13,소속기관 업무담당자 변경
2024-08-13,차량번호 등록
2024-08-13,차량번호 등록 요청
2024-08-13,중고(신규) 충전카드발급시 문제
2024-08-13,멤버십 카드 문의
2024-08-13,차량 번호 변경
2024-08-12,차량번호 등록
2024-08-12,회원카드 (중복) 문제 문의
2024-08-12,임시번호카드발급후 신차구매
